390路,401|4640|3082|9908|5483|6194|9645|929|408|6663|4268|6527|6345
391路,7630|1124|7576|1633|8885|981|130|8767|4380|10001|4711|8083|7990|1057
392路,6567|4637|10298|4531|6925|3811|5247|7654|4068|1946|1464|7245|1905|7128|8739|5220|3025|6455|1223|10222|8190|1125|2384
393路,7237|385|10481|11717|11569|6388|5263|8426|6358|10457|1627|5587|966|3811|6925|4531|4947|11470|11974|7168|6812
395路,5712|8060|4915|401|3092|2050|11040|9786|2889|464|10980|11799|7214|9105|5476|2678|4594|5102|1253|6798|5584|10398|795|7183|1912|7962|118
396路,11764|10236|1862|1983|3086|5252|2383|10453|462|1212|411|5388|11315|7381|6125|6327|4009
397路,11169|214|2573|6195|3174|2333|9919|11842|7657|7206|2049|11848|267|2367|6823|4227|5857|4331|9634|9477|7780|1809
398路,6812|7168|11974|11470|7654|4068|1946|1464|7245|1905|7128|5791|8822|8187
399路,8997|10375|443|6125|6327|10276|9246|11509|5768|7390|5351|2319|11903|7420|3515|7698|9364|10970|11747|11403|8128|8997
40路,10072|2824|6200|8335|6460|8393|4267|5716|7412|11238|7236|3475|4395|4423|3082|3459|2522|289|9758|2477|2194|10747|9257|783|2012|2898|3163|11602|1811|4075|7967
41路,9053|10486|6274|4307|11192|1437|422|8872|2332|4290|1926|714|11258|11610|7525|11283|8140|4646|6912|5490|1741
42路,9794|11721|235|6872|10243|3007|7314|9001|7093|2792|11763|8421|9921|1248|4362|2829|8776|11785|10799|4640|3082|9672|9908|6050
43路,2519|9217|1604|6469|8374|8425|1706|8875|3886|10498|8510|7443|3658|8403|7525|7339|5866|836|6963|5709
44路,6268|4270|2936|2382|8285|10498|8510|8140|5738|1914|9353|10618|8612|4915|5712|858|2708|2384|9870|7273|9312|418|2597|1481|6268
45路,5064|11336|3764|7958|9419|1797|5640|10714|3599|1522|2522|5483|9908|8124|4673|10596|4853|448|4486|2034|10106|5937
46路,5937|8613|3167|1877|3711|5483|6050|9908|9672|3082|435|4058|10799|11785|8776|8769|8241|9553
47路,2522|3279|5930|3459|9807|8060|10774|2943|3770|9921|10296|11900|6215|11187|3275|2123|5235|6504|5045|6620|11441|389|8831|2165
48路,5465|8947|5665|5920|1879|8248|8402|6520|7214|5437|2602|4523|5286|6389|2127|1639|11274|6076|4405|6092
49路,12033|1182|11237|74|11783|7824|8747|11269|1821|362|9442|3082|435|4058|10799
401路,4927|7759|11954|11556|799|4780|2800|8294|1610|11685|7069|5211|1258|10506|3731|908|10915|10105|2798
402路,3737|3622|10557|5028|422|8872|2332|883|5691|5390|8354|3967|11591|1119|4758|11578|9136|6453|5880|4633|3044|799|4780|2800|8294|1610|9331|8121|7702|10067|4449
403路,10320|3886|12025|1706|8425|3111|6469|3988|6502|2747|5550|1788|3731|10506|1258|7069|11685|639|10497|9098
404路,4834|807|4241|7176|698|7755|8436|1626|10451|3942|3571|7069|5211|1258|10506|3731|908|10915|2798
405路,1809|5426|3960|8354|3967|11591|1119|4758|11578|1901|7346|6075|9311|5637|11687|6437|8294|1610|3584|9831|7827|10837|2868|2281|1930|9329|10543
407路,9709|3856|9990|64|6341|8420|8797|6653|6899|533|5765|1471|6399|7451|11405|7654|572|9817|2061
408路,3790|3465|2914|9817|2061|10952|5862|3372|2907|9054|3395|7069|8996|9066|9720|799|11954|7759|4927|10302|8603|2958|5727|1612|11597|1985|4125|4942|1793
409路,1248|9921|8421|2792|1516|3275|2123|11720|418|396|7728|8639|2621|2478|5926|11166|11474|4032|471|4670|1343|2876|9420|1779|3372|2907|9054|10183|9421|6557|3659|4986|698|7176|4241|807|4834
410路,7491|5837|652|6908|550|6102|1593|5459|9102|3849|11182|6522|5500|11582|3816|10083|3421|7052|7824|8747|1821|362|9442|9908|6050|5483|11052
411路,9200|9399|6826|10695|5250|1260|6337|2367|6823|4227|10700|8674|8976|11770|4710|11899|1949|3631|5959|5707|7529|6071|10697|2231|6160
412路,578|4059|1114|8443|3404|8016|3546|4757|11899|1949|3631|9592
413路,6143|9375|2747|5550|7629|9136|6453|11793|5880|4633|3044|7759|4927
414路,6968|7368|11357|9548|10257|1345|7283|10586|1033|10011|1671|289|979|3711|1877|3167|5806
415路,10543|9329|302|852|11697|3598|3923|1295|807|4834|880|6937|3043|10351|8809|6165|1650|2992|841|8520|6652|9255|3478|3790
416路,4834|807|4241|7176|698|7755|1153|6557|9421|7896|5539|3571|8996|11627|5334|5637|9311|10172|9136|1901|11578|6502|9375|2798
418路,2798|9375|2747|8245|7629|9136|6453|5880|4633|11954|799|4780|2800|8294|639|9331|8121|7702|10067|4449|11779|7447|10445|10169|4830|6045|6847|1726|69
419路,3079|4723|3136|3478|3465|2914|9817|4596|2876|2523|1166|4133|7582|3731|9136|6453|5590|1376|818|4743|10812|10407|10415|12|10697|6071|7529|5707|3631|9592
421路,5390|5749|3960|11985|2395|3548|12|10415|10407|10812|4743|818|1376|5590|6453|5880|4633|3044|11954|799|4780|2800|60|1922|10451|1626|3615|4703|8387|698|251|5389
423路,10333|6001|9857|3905|2403|3874|4201|9913|5912|9544|3816|10083|3421|7824|8747|10510|4564|464|2889|9786|11040|3092|401|5712|858|1543|3818|1248
425路,8836|10358|7874|3215|2250|10264|317|688|2155|8532|7218|6944|7805|6620|11441|389|7247|213|1149|6154|9676|8253|9268|7169|3136|10426|2760|11630|3351|6130
425路快车,8836|7874|2250|10264|317|8532|6944|7805|6620|11441|7247|1149|6154|8253|9268|7169|3136|10426
426路,7534|9879|10822|4319|905|2341|4032|2914|3465|3478|6652|8520|841|1204|1934|7648|11097|5724|11876|1053|5399|7433|3485|5995|11746|9064|1776|10406|19|10040|5268|9677|2079|7672
428路,10166|5733|533|6431|11035|8797|8420|5849|9990|11962|4021|8471|4167|10650|1620|8404|6175|263|108|3122|3747|3473|7433|10690|1920|4832|577|3263|10560|9279|122|1259
429路,9397|4988|11961|6223|10890|10457|6358|5096|10909|8551|2896|7284|11518|3946|11159|5791|8739|6642|8587
430路,9879|703|616|2400|3321|11263|5735|6652|8520|841|7648|11097|5724|11742|1053|5399|7433|3485|7842|7140
431路,2879|39|3988|6583|10053|2519|10812|11495|6635|419|1511|10732|137|1247|753|7978|4059|578
