#nodeId,buses
8554,顺42路|955路|空港3路|顺31路|空港6路|顺27路|顺22路|850路
9885,958路
7226,383路|964路|M06路
11043,专43路
9886,兴55路|兴12路|兴15路|兴16路|兴18路|兴30路支|957路|兴46路|366路快|兴21路延长线|968路|兴33路|兴1路|兴20路|兴21路|兴22路|366路|369路|兴25路|631路
11042,945路|快速直达专线126路|快速直达专线125路|670路
8555,房43路|通38路|房39路|房35路|房27路
7225,10路
250,510路|653路|658路|夜9路|618路|92路|345路快|620路|21路
9880,兴17路|兴20路
251,593路|421路|657路|130路|311路|夜32路|运通117路
252,平28路|平50路|平45路
253,兴17路
254,房15路
255,381路|470路|474路
256,H52路
257,650路|快速直达专线78路
258,通46路
259,25路|7路
11045,顺42路|顺30路|顺33路|顺34路|顺14路
8549,880路
7217,平16路
7216,Y30路
11044,专45路
7219,通6路专线|通6路|823路|317路
8547,顺20路区间|顺20路
9878,31路|专71路|439路
11047,兴45路|兴46路|兴37路
7218,运通201路|425路|609路|运通101路|123路|80路|695路|300路快|88路|302路|658路|617路|94路|315路|夜30路|特8路|361路
9879,113路|专7路环线|75路|119路|426路|124路|125路|430路|夜18路|301路|18路|夜34路|104路|特11路|108路
8548,Y28路|H60路
11046,兴22路|兴25路
11049,顺17路
11048,昌57路
7231,844路区间|844路
9894,通44路
8563,487路
7230,830路
9895,密5路|密16路
8564,兴21路延长线|842路|兴21路
11050,密32路|密31路|密38路|密37路|密34路|密33路|密36路|密35路|密50路|密52路|密51路|密19路支线|密19路|密20路|密29路|密38路支线|密26路|密28路|密27路|密22路|密21路|密24路|密23路
9892,房16路|房18路|836路张坊|917路快|房41路|917路|房31路|房38路|房18路支2
8561,运通110路
7233,临8路|通11路
9893,昌66路|昌52路|493路
8562,Y24路|Y23路|874路
7232,890路担礼|929路|890路|892路
11052,941路|997路|820路|821路|夜15路|941路快|122路|349路|309路|专3路|616路|968路|890路担礼|夜22路|53路|890路|410路|109路|982路|特17路
8567,690路|532路|364路
9898,专66路
7235,545路
11051,74路|300路快|300路|特6路|特8路
8568,Y22路
7234,地铁1号线
9899,890路担礼
7237,509路|476路|432路|393路|671路|特18路|特19路|636路
11054,专116路|快速直达专线117路|854路
9896,兴45路
8565,兴微3路
9897,811路|813路|814路|815路|816路|817路|819路|930路
11053,682路|75路|640路|126路|306路|夜6路|486路|140路
7236,40路|741路|19路
8566,兴13路南线
9890,通1路
260,通州森林公园2路
9891,M21路
8560,平2路|平31路|平27路|平43路|平39路|平38路|平32路
261,370路|992路|960路
262,兴26路
263,428路
264,平12路
265,866路
266,快速直达专线54路|667路-552路联运|824路|615路|667路
267,397路
268,运通106路|121路|612路|56路|102路|61路
269,房30路|835路|房27路|房28路
7228,房51路
11056,349路|678路
7227,房1路
11055,房33路
9889,密30路|密32路|密31路|密17路支4|密17路支1|密17路支2|密37路|密39路|密33路|密36路|密35路|密2路|密5路|密50路|密51路|郊80路|密18路|密17路|密57路|密12路|密38路支线|密26路|密25路|密22路
11058,944路|471路|536路
8558,468路|517路|475路|夜27路|666路|运通121路|363路|450路|专167路
7229,112路|夜13路|128路|58路|140路|101路|109路
11057,快速直达专线43路|兴微23路
8559,365路
11059,945路|905路|643路|昌52路|643路区|985路区
8574,顺5路
7242,H38路
8575,专34路环线|636路
7241,809路
7244,605路|911路|499路快|306路|499路|675路
8572,密16路
8573,38路|夜13路|124路|128路|55路|14路|101路|103路|109路
7243,专82路环线
8578,504路|运通115路|599路|555路|997路|953路|736路|地铁亦庄线|341路|524路|926路|352路|622路|324路
7246,兴11路|兴42路|兴36路|大兴专1路
7245,693路|夜4路|392路|398路|355路|577路|房21路|房20路|490路|房25路|房24路
8579,平18路
8576,郊100路|H52路|918路|H61路|918路关上|平18路
7248,密10路
11021,636路
7247,508路|425路|645路|夜4路|425路快车|16路|635路
8577,专116路
11020,542路|专41路
270,619路
8570,密18路
271,专89路
8571,988路|运通111路|657路
272,密16路
273,密8路支线|密8路|密66路|密65路|密68路|密67路|密62路|密61路|密63路|密60路
7240,密20路
274,平20路|918路|平48路|平15路|平14路|平13路|平17路|平16路
275,329路
276,通7路|临8路|通10路|通18路
277,348路|快速直达专线33路
278,通1路
279,房13路支线
11023,房15路|房14路|房13路|房37路支线|房2路|房42路|房41路|房46路|房31路|833路|房37路|房28路|897路
7239,612路|夜28路|674路|特16路
11022,空港6路
7238,顺26路
8569,929路木城涧|929路
11025,平18路
11024,637路|561路|夜19路|348路|快速直达专线74路|通14路|457路|677路
11027,兴13路北线|381路
11026,910路
11029,兴23路|兴24路
11028,地铁10号线
8585,556路|829路|474路
7253,机场巴士9线
8586,941路|335路|568路|夜5路|308路|634路
7252,房37路支线
7255,863路
8583,886路|昌35路|昌33路|493路|昌32路
8584,H10路
7254,835路|838路
7257,顺45路|木林1路
8589,空港5路区间
11030,地铁八通线
7256,H41路
7259,Y14路
8587,运通113路|运通109路|740路公益西桥|429路|386路|夜4路|740路|660路|751路|490路|983路
11032,密39路
7258,517路
11031,顺5路|顺23路
8588,835路快|快速直达专线63路
280,兴58路
281,兴46路|兴30路|兴61路|兴27路|兴28路
282,房50路|房1路|956路|房33路|房34路|895路
8581,运通115路|335路|740路公益西桥|952路|736路|958路|959路|740路|967路|97路|624路|982路|983路
283,590路|559路
8582,96路|329路
7251,810路|938路卓达三溪塘专线|通21路|通22路|通9路|通41路|805路|938路
284,地铁昌平线|昌51路区间|昌37路|昌30路
7250,Y17路|Y08路
285,夜7路|夜28路|57路|23路
8580,兴31路|兴21路延长线|兴33路|兴35路|兴13路南线|兴21路|兴23路|兴24路|兴26路|兴29路
286,房11路|房46路
287,快速直达专线52路|26路|运通114路|运通110路|374路|528路|快速直达专线66路|运通124路|运通118路
288,机场快轨
289,374路|373路|3路|9路|运通102路|夜14路|387路|901路快|694路|地铁9号线|40路|89路|夜5路|741路|夜8路|616路|夜23路|96路|661路|662路|663路|52路|843路|特6路|特2路|夜36路|673路|地铁7号线|特13路|65路|特14路|67路|414路|特18路|21路|特19路
11034,655路|887路
7249,顺3路|顺13路
11033,机场巴士6线
11036,顺43路|顺36路区间|顺37路|顺38路|顺36路|顺32路|顺2路|顺29路|顺27路|顺28路|顺28路区间汉石桥方向|顺28路区间道口
11035,昌26路|462路|463路|996路|428路|307路
11038,554路|959路|701路|531路
11037,30路|31路|605路|486路|夜25路|138路|312路|54路|11路|专165路|677路|985路
11039,841路
8596,H02路|H23路区间|H50路|H23路区间六渡河|H51路|H19路|H24路|H23路|H34路|H36路|H35路
7264,1路|99路|52路
8597,顺29路
7263,841路
8594,兴18路
7266,H12路|H13路
8595,437路|481路|运通124路
7265,顺17路
7268,Y23路
7267,专7路环线
8598,690路|532路
7269,602路|736路|691路|692路|夜7路|353路|845路|627路|特3路
8599,838路
290,373路|597路|快速直达专线112路|76路|958路|夜5路|308路|运通120路|545路
291,通27路
292,兴21支路
293,昌29路|郊100路|905路|643路|昌59路|昌52路|昌51路|985路区|昌51路区间
7260,920路
8592,顺17路
294,夜10路|612路|107路|635路
8593,密18路
8590,966路区间|966路
7262,顺12路区间|顺12路
295,通9路
296,昌22路|949路|643路|昌2路|快速直达专线124路|专105路|专106路|昌1路|962路|643路区|922路|345路快|884路|493路|326路
8591,房51路|房42路|房47路
7261,房53路
297,房37路支线|房47路|房37路
11009,空港8路|顺23路
298,H48路
11008,921路
299,平4路
11001,昌22路|昌21路|郊100路|昌68路|345路|昌53路|878路|922路
11000,828路
11003,房47路
11002,密1路西线
11005,专32路环线|专49路区间|560路|871路|专50路
11004,房23路
11007,兴12路
11006,通31路
7275,房40路|房28路
7274,昌3路
7277,房17路|房16路|房18路|836路张坊|917路快|房45路|房41路|917路
7276,379路|专89路
7279,地铁9号线
7278,平2路|平36路|平48路
11010,房20路|房25路
7271,顺23路
7270,顺14路
7273,331路|运通104路|347路|44路|620路|498路|特12路
